categoria;pai
Organização Político-Administrativa;
;
Competências Legislativas;Organização Político-Administrativa
;
Competências Privativas da União (Incisos do Art. 22);Competências Legislativas
direito civil, comercial, penal, processual, eleitoral, agrário, marítimo, aeronáutico, espacial e do trabalho;Competências Privativas da União (Incisos do Art. 22)
desapropriação;Competências Privativas da União (Incisos do Art. 22)
requisições civis e militares, em caso de iminente perigo e em tempo de guerra;Competências Privativas da União (Incisos do Art. 22)
águas, energia, informática, telecomunicações e radiodifusão;Competências Privativas da União (Incisos do Art. 22)
serviço postal;Competências Privativas da União (Incisos do Art. 22)
sistema monetário e de medidas, títulos e garantias dos metais;Competências Privativas da União (Incisos do Art. 22)
política de crédito, câmbio, seguros e transferência de valores;Competências Privativas da União (Incisos do Art. 22)
comércio exterior e interestadual;Competências Privativas da União (Incisos do Art. 22)
diretrizes da política nacional de transportes;Competências Privativas da União (Incisos do Art. 22)
regime dos portos, navegação lacustre, fluvial, marítima, aérea e aeroespacial;Competências Privativas da União (Incisos do Art. 22)
trânsito e transporte;Competências Privativas da União (Incisos do Art. 22)
jazidas, minas, outros recursos minerais e metalurgia;Competências Privativas da União (Incisos do Art. 22)
nacionalidade, cidadania e naturalização;Competências Privativas da União (Incisos do Art. 22)
populações indígenas;Competências Privativas da União (Incisos do Art. 22)
emigração e imigração, entrada, extradição e expulsão de estrangeiros;Competências Privativas da União (Incisos do Art. 22)
organização do sistema nacional de emprego e condições para o exercício de profissões;Competências Privativas da União (Incisos do Art. 22)
organização judiciária, do Ministério Público do Distrito Federal e dos Territórios e da Defensoria Pública dos Territórios, bem como organização administrativa destes;Competências Privativas da União (Incisos do Art. 22)
sistema estatístico, sistema cartográfico e de geologia nacionais;Competências Privativas da União (Incisos do Art. 22)
sistemas de poupança, captação e garantia da poupança popular;Competências Privativas da União (Incisos do Art. 22)
sistemas de consórcios e sorteios;Competências Privativas da União (Incisos do Art. 22)
normas gerais de organização, efetivos, material bélico, garantias, convocação, mobilização, inatividades e pensões das polícias militares e dos corpos de bombeiros militares;Competências Privativas da União (Incisos do Art. 22)
competência da polícia federal e das polícias rodoviária e ferroviária federais;Competências Privativas da União (Incisos do Art. 22)
seguridade social;Competências Privativas da União (Incisos do Art. 22)
diretrizes e bases da educação nacional;Competências Privativas da União (Incisos do Art. 22)
registros públicos;Competências Privativas da União (Incisos do Art. 22)
atividades nucleares de qualquer natureza;Competências Privativas da União (Incisos do Art. 22)
normas gerais de licitação e contratação, em todas as modalidades, para as administrações públicas diretas, autárquicas e fundacionais da União, Estados, Distrito Federal e Municípios, obedecido o disposto no art. 37, XXI, e para as empresas públicas e sociedades de economia mista, nos termos do art. 173, § 1°, III;Competências Privativas da União (Incisos do Art. 22)
defesa territorial, defesa aeroespacial, defesa marítima, defesa civil e mobilização nacional;Competências Privativas da União (Incisos do Art. 22)
propaganda comercial;Competências Privativas da União (Incisos do Art. 22)
;
Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24);Competências Legislativas
direito tributário, financeiro, penitenciário, econômico e urbanístico;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
orçamento;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
juntas comerciais;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
custas dos serviços forenses;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
produção e consumo;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
florestas, caça, pesca, fauna, conservação da natureza, defesa do solo e dos recursos naturais, proteção do meio ambiente e controle da poluição;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
proteção ao patrimônio histórico, cultural, artístico, turístico e paisagístico;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
responsabilidade por dano ao meio ambiente, ao consumidor, a bens e direitos de valor artístico, estético, histórico, turístico e paisagístico;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
educação, cultura, ensino, desporto, ciência, tecnologia, pesquisa, desenvolvimento e inovação;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
criação, funcionamento e processo do juizado de pequenas causas;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
procedimentos em matéria processual;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
previdência social, proteção e defesa da saúde;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
assistência jurídica e Defensoria pública;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
proteção e integração social das pessoas portadoras de deficiência;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
proteção à infância e à juventude;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
organização, garantias, direitos e deveres das polícias civis;Competências Concorrentes da U, dos E e do DF (Incisos do Art. 24)
;
;
Competências Administrativas;Organização Político-Administrativa
Competências Exclusiva da União;Competências Administrativas
Indelegável ;Competências Exclusiva da União
;
Competência Comum (Parágrafo do Art. 23);Competências Administrativas
da União, Estados, DF e Municípios;Competência Comum (Parágrafo do Art. 23)
Lei Complementar fixará normas para cooperação entre U, E, DF e M com vista ao equilíbrio do desenvolvimento e do bem-estar em âmbito nacional;Competência Comum (Parágrafo do Art. 23)
;
;
;
;
;
Competências;Organização Político-Administrativa
;
Competências PRIVATIVAS da União (Parágrafo do Art. 22);Competências
Delegável aos Estados e DF;Competências PRIVATIVAS da União (Parágrafo do Art. 22)
Delegável por Lei Complementar para Estados e DF legislarem questões específicas;Competências PRIVATIVAS da União (Parágrafo do Art. 22)
;
;
Competências CONCORRENTES (Parágrafos do Art. 24);Competências
da União, dos Estados e do DF;Competências CONCORRENTES (Parágrafos do Art. 24)
União limita-se a estabelecer normas Gerais;Competências CONCORRENTES (Parágrafos do Art. 24)
Competência Suplementar dos Estados: Estados podem definir o que a União não tratou;Competências CONCORRENTES (Parágrafos do Art. 24)
Competência Plena: Estados e DF podem legislar ANTES da União, caso inexista Lei Federal;Competências CONCORRENTES (Parágrafos do Art. 24)
Suspensão de eficácia de Lei Estadual: Lei Federal de normas gerais após Lei Estadual suspende a eficácia da Lei Estadual no que lhe for contrário;Competências CONCORRENTES (Parágrafos do Art. 24)
;
;
Competência dos Estados;Competências
Competência Reservada: Estados legislam sobre o que não for vedado, o que não for expressamente atribuída à União nem aos Municípios;Competência dos Estados
;
;
;
Competência dos Municípios;Competências
Competência Suplementar dos Municípios: Municípios podem suplementar legislação Federal e Estadual;Competência dos Municípios
Competência Exclusiva: Municípios podem legislar sobre assuntos de interesse local;Competência dos Municípios
